Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,1105.400024,1108.969971,1096.739990,1103.680054,1103.680054,3755500
2017-11-02,1097.810059,1101.939941,1086.869995,1094.219971,1094.219971,3684900
2017-11-03,1091.150024,1112.680054,1088.520020,1111.599976,1111.599976,3751500
2017-11-06,1109.150024,1125.410034,1108.770020,1120.660034,1120.660034,3381100
2017-11-07,1124.739990,1130.599976,1117.500000,1123.170044,1123.170044,2689000
2017-11-08,1122.819946,1135.540039,1119.109985,1132.880005,1132.880005,2581500
2017-11-09,1125.959961,1129.619995,1115.770020,1129.130005,1129.130005,3732700
2017-11-10,1126.099976,1131.750000,1124.060059,1125.349976,1125.349976,2173900
Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,83.680000,83.760002,82.879997,83.180000,83.180000,22307400
2017-11-02,83.349998,84.459999,83.120003,84.050003,84.050003,23992900
2017-11-03,84.080002,84.540001,83.400002,84.139999,84.139999,17633500
2017-11-06,84.199997,84.699997,84.080002,84.470001,84.470001,19860900
2017-11-07,84.769997,84.900002,83.930000,84.269997,84.269997,17939700
2017-11-08,84.139999,84.610001,83.830002,84.559998,84.559998,18034200
2017-11-09,84.110001,84.269997,82.900002,84.089996,84.089996,21178400
2017-11-10,83.790001,84.099998,83.230003,83.870003,83.870003,19394800
Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,20.740000,20.990000,20.400000,20.610001,20.610001,18828800
2017-11-02,20.500000,20.629999,19.639999,19.709999,19.709999,24475100
2017-11-03,19.870001,20.240000,19.520000,19.900000,19.900000,22259600
2017-11-06,19.780001,19.850000,19.260000,19.389999,19.389999,25599300
2017-11-07,19.549999,20.180000,19.510000,19.660000,19.660000,22238300
2017-11-08,19.700001,19.980000,19.370001,19.590000,19.590000,16291300
2017-11-09,19.400000,20.240000,19.360001,19.900000,19.900000,20271000
2017-11-10,19.790001,20.580000,19.740000,20.320000,20.320000,16020000
