Ticker,Est EPS,Act EPS,Announcement Date
AAL,0.963,1.64,20170728
ABBV,1.44,1.2,20170728
ABC,1.443,0.23,20170803
ABT,0.724,0.16,20170720
ACN,1.647,1.08,20170622
ADBE,1.093,0.76,20170620
ADM,0.792,0.48,20170801
ADP,0.939,0.6,20170727
ADS,5.473,2.48,20170720
AEE,0.17,0.79,20170804
AEP,0.584,0.76,20170727
AES,0.29,0.08,20170808
AET,1.699,3.62,20170803
AFL,1.565,1.8,20170727
AGN,4.6,-2.37,20170803
AIG,1.277,1.22,20170802
AIV,0.079,0.1,20170727
AIZ,1.653,2.18,20170801
AJG,0.761,0.96,20170727
AKAM,0.652,0.33,20170725
ALB,1.083,0.93,20170807
ALGN,0.894,0.86,20170727
ALK,1.819,2.4,20170726
ALL,1.93,1.51,20170801
ALLE,0.959,1.11,20170727
ALXN,1.369,0.74,20170727
AME,0.649,0.65,20170802
AMG,4.902,2.24,20170731
AMGN,3.046,2.93,20170725
AMP,2.845,2.53,20170725
AMT,0.82,0.81,20170727
AMZN,4.129,0.41,20170727
ANDV,0.927,0.31,20170808
ANSS,1.022,0.82,20170802
ANTM,1.412,3.23,20170726
AON,2.342,2.93,20170804
AOS,0.538,0.53,20170726
APA,0.343,1.5,20170803
APC,-0.002,-0.76,20170724
APD,1.603,0.47,20170801
APH,0.775,0.82,20170726
ARE,0.462,0.35,20170731
ARNC,0.274,0.44,20170724
ATVI,0.904,0.32,20170803
AVB,1.254,1.2,20170802
AWK,0.642,0.74,20170802
AXP,1.469,1.47,20170719
AYI,2.241,1.91,20170629
AZO,10.138,11.7,20170523
BA,2.632,2.93,20170726
BAC,0.476,0.49,20170718
BAX,0.569,0.49,20170726
BBT,0.812,0.78,20170720
BCR,3.143,1.9,20170727
BDX,2.479,-0.75,20170803
BEN,0.71,0.73,20170728
BIIB,5.398,4.07,20170725
BK,0.896,0.88,20170720
BLK,5.781,5.27,20170717
BLL,0.563,0.28,20170803
BMY,0.636,0.56,20170727
BSX,0.338,0.11,20170727
BWA,0.938,1.01,20170727
BXP,0.72,0.87,20170801
C,1.3,1.28,20170714
CA,0.62,0.42,20170802
CAG,0.525,0.36,20170629
CAH,1.249,0.87,20170802
CAT,0.859,1.36,20170725
CB,2.629,2.79,20170725
CBG,0.927,0.59,20170727
CBOE,0.862,0.6,20170804
CBS,1.208,0.14,20170807
CCI,0.326,0.31,20170719
CCL,0.648,0.52,20170622
CELG,1.965,1.36,20170727
CF,-0.107,0.01,20170802
CFG,0.644,0.63,20170721
CHD,0.5,0.29,20170803
CHK,0.249,0.5176,20170803
CHRW,0.894,0.79,20170719
CHTR,1.584,0.53,20170727
CI,2.153,3.2,20170804
CINF,0.935,0.61,20170802
CL,0.782,0.59,20170721
CLX,1.337,1.55,20170803
CMA,1.173,1.15,20170718
CMCSA,0.486,0.53,20170727
CME,1.222,1.23,20170801
CMG,1.965,2.33,20170725
CMS,0.452,0.33,20170728
CNC,1.111,1.47,20170725
CNP,0.292,0.31,20170803
COF,1.862,1.96,20170720
COG,0.199,0.05,20170727
COL,1.553,1.13,20170728
COP,0.336,-2.78,20170727
COST,1.293,1.59,20170525
COTY,0.322,-0.41,20170822
CSRA,0.498,0.47,20170809
CSX,0.608,0.55,20170718
CTAS,1.19,0.78,20170720
CTL,0.553,0.03,20170802
